pointDistance, pathLength, DFSVisit, BFSVisit, AStarVisit
14.142136,79,3924,304,3912
14.142136,443,9752,1686,3325
14.21267,1509,2822,3736,2933
14.21267,1219,8983,6870,9168
14.21267,147,247,574,330
14.21267,1501,6837,6162,7031
14.21267,249,332,943,410
14.21267,3383,4456,8892,5080
14.21267,399,8685,1707,465
14.3178215,68,80,248,71
14.3178215,136,202,282,257
14.3178215,962,2392,5643,3039
14.3178215,1830,4807,7245,4534
14.3178215,120,6983,361,137
14.3178215,68,117,149,140
14.3178215,64,8448,169,81
14.3178215,190,620,716,8008
14.3178215,58,72,222,182
14.3178215,160,202,432,386
14.3178215,356,677,1225,837
14.3178215,84,9449,283,9966
14.3178215,706,6314,3900,3181
14.3178215,50,9784,168,181
14.3178215,152,9733,599,8123
14.3178215,300,515,1490,6573
14.3178215,2270,3884,5342,2956
14.3178215,138,4066,550,9962
14.422205,565,5045,2290,711
14.422205,1733,4203,8719,8302
14.422205,799,5757,3952,5763
14.422205,1761,627,2186,4190
14.422205,2605,8533,9670,5102
14.422205,183,194,596,1608
14.422205,1127,1853,5470,9151
14.422205,1105,3465,3844,1460
14.56022,1557,3730,5802,7441
14.56022,1131,1834,5617,1592
14.56022,2333,8446,7933,3575
14.56022,2735,7706,9199,5532
14.56022,59,366,217,78
14.56022,2051,5797,1035,3994
14.56022,171,179,479,9940
14.56022,693,9183,3969,9038
14.56022,2583,4355,8888,6223
14.56022,301,5589,961,9884
14.764823,39,90,148,134
14.764823,321,431,774,989
14.764823,351,876,1200,655
14.764823,499,9335,2219,599
14.764823,2909,4776,8625,4475
14.764823,1109,1971,3517,5201
14.764823,59,9711,190,9927
14.764823,913,2174,3059,2262
14.764823,199,1426,542,211
14.764823,673,3469,2721,7347
14.866069,56,9856,126,69
14.866069,214,739,1002,1005
14.866069,2230,4156,8880,8013
14.866069,476,1383,1605,9872
14.866069,1590,9838,1575,3575
14.866069,224,9976,817,263
14.866069,128,7062,482,7062
14.866069,468,9050,1570,512
14.866069,106,1016,454,982
14.866069,716,4669,3546,938
14.866069,102,134,328,9926
14.866069,140,202,684,637
15,192,220,533,214
15,842,9717,4206,9696
15,1320,3224,3873,1568
15,602,9183,2576,1206
15,86,125,263,105
15,122,3877,296,3898
15,1306,6335,6965,3883
15,114,123,282,5300
15,158,166,638,180
15,2618,4564,8695,4639
15,664,9843,2149,1807
15,1764,5532,5956,3028
15.033297,515,9647,1948,9637
15.033297,329,3234,1017,3246
15.033297,1053,2440,3412,3502
15.033297,503,5435,1508,1839
15.033297,2129,7656,6639,3881
15.033297,133,3943,350,4039
15.033297,77,9843,346,5470
15.033297,877,8840,3369,1081
15.033297,41,899,135,9975
15.033297,145,6390,480,3785
15.033297,1777,2718,4001,8453
15.033297,209,7175,766,288
15.132746,166,9601,798,190
15.132746,560,3999,1827,6544
15.132746,42,2016,161,55
15.132746,400,855,3015,627
15.132746,102,1902,364,8657
15.132746,150,180,414,257
15.231546,71,9989,168,73
15.231546,595,1266,2114,5092
15.231546,107,107,234,8885
15.231546,169,183,422,1165
15.231546,491,3956,1576,788
15.264338,44,315,133,9606
15.264338,124,9939,570,5619
15.264338,74,159,330,78
15.264338,834,8380,3200,2715
15.264338,238,665,864,9881
15.264338,776,3020,3047,3322
15.264338,104,132,201,112
15.264338,610,5429,2273,763
15.264338,42,9190,154,91
15.264338,2048,7092,6917,5757
15.297058,83,104,259,438
15.297058,1697,5602,7891,5661
15.297058,893,3945,5265,1161
15.297058,45,486,179,404
15.524175,1886,2763,4316,3510
15.524175,174,9511,525,9510
15.524175,134,9809,532,9910
15.524175,368,522,1625,939
15.524175,406,709,1685,623
15.524175,288,362,1074,391
15.524175,776,5657,3688,9469
15.556349,775,7678,3012,7441
15.556349,213,368,874,8469
15.556349,1237,6997,5418,4124
15.6205,3399,5910,8903,4970
15.6205,71,73,194,1646
15.6205,153,1617,540,1634
15.6205,1941,7941,5426,3765
15.6205,109,9973,401,9776
15.6205,381,5422,1686,4888
15.6205,83,4765,389,162
15.652476,2270,9861,1238,8997
15.652476,760,6025,3292,2526
15.652476,104,351,361,149
15.652476,50,9925,126,7478
15.652476,180,1420,777,1402
15.652476,56,9907,175,9963
15.652476,98,9597,270,9600
15.652476,1340,4721,6168,8432
15.652476,606,8327,2766,939
15.652476,1638,4852,4953,4091
15.811388,327,8656,1314,373
15.811388,1235,7705,5437,7494
15.811388,983,1438,2112,1797
15.811388,297,8151,1358,6221
15.811388,51,52,139,56
15.811388,49,359,220,1695
15.811388,193,811,877,674
15.811388,2475,5060,9619,6856
15.811388,699,9687,2901,9507
16,77,204,214,9876
16,1351,2445,7338,3807
16,181,192,634,352
16.03122,90,9774,248,1018
16.03122,44,52,145,52
16.03122,804,1150,4146,9013
16.03122,46,100,255,141
16.03122,626,5168,2395,865
16.124516,235,345,1130,389
16.124516,195,6953,896,464
16.124516,935,1159,3170,2133
16.124516,87,1483,254,8582
16.124516,883,1088,2691,7857
16.124516,123,3894,668,406
16.124516,663,7698,3360,3094
16.124516,2905,6241,1559,5252
16.124516,2373,5599,9572,5481
16.124516,79,125,388,9860
16.155495,228,283,602,1496
16.155495,1458,8251,8530,3360
16.155495,64,202,257,118
16.155495,38,9886,125,9839
16.155495,68,190,192,646
16.155495,1706,5732,5948,5585
16.27882,306,350,1404,9929
16.27882,270,6884,949,350
16.27882,38,831,144,9952
16.27882,46,45,118,6234
16.27882,394,9724,1162,9644
16.27882,1428,2726,3897,2725
16.27882,88,239,323,168
16.27882,4076,267,870,7202
16.40122,64,9922,162,9925
16.40122,1204,5543,6881,9381
16.40122,994,8660,5095,1230
16.40122,136,4960,383,186
16.492422,853,3071,3320,1619
16.492422,405,2041,2173,636
16.492422,299,9255,885,9780
16.492422,103,9968,401,234
16.492422,325,747,1100,718
16.492422,337,1369,2184,9017
16.492422,55,450,211,112
16.552946,1951,4632,5848,3899
16.552946,3229,7340,8384,6391
16.552946,2569,5869,660,4937
16.552946,1579,6570,5901,4039
16.552946,447,875,1469,2359
