pointDistance, pathLength, DFSVisit, BFSVisit, AStarVisit,,,,,,,,,,,,,
140.00714,1041,9763,2051,9158,,,,,,,,,,,,,
140.00714,2573,3586,4273,9616,,,,,,,,,,,,,
140.00714,2523,8025,5528,8027,,,,,,,,,,,,,
140.00714,2379,9143,4328,6040,,,,,,,,,,,,,
140.00714,2861,5504,7017,6489,,,,,,,,,,,,,
140.00714,2293,7264,5766,8920,,,,,,,,,,,,,
140.00714,2557,7425,8322,5708,,,,,,,,,,,,,
140.00714,1943,2110,6711,7304,,,,,,,,,,,,,
140.00714,2257,3794,4807,8331,,,,,,,,,,,,,
140.00714,2769,7498,7327,5648,,,,,,,,,,,,,
140.00714,1595,5560,9587,9346,,,,,,,,,,,,,
140.00714,2713,8392,6599,7981,,,,,,,,,,,,,
140.00714,2241,9091,4629,8582,,,,,,,,,,,,,
140.00714,1573,2763,2989,9594,,,,,,,,,,,,,
140.00714,1797,3247,4569,3617,,,,,,,,,,,,,
140.00714,3833,8122,9730,5533,,,,,,,,,,,,,
140.00714,1465,2385,2954,9704,,,,,,,,,,,,,
140.00714,3839,8243,9333,6392,,,,,,,,,,,,,
140.00714,2279,6156,6226,6971,,,,,,,,,,,,,
140.00714,1747,2125,3926,9454,,,,,,,,,,,,,
140.00714,2153,4146,5467,4377,,,,,,,,,,,,,
140.00714,1479,2357,3934,2910,,,,,,,,,,,,,
140.00714,2673,6799,6587,4940,,,,,,,,,,,,,
140.00714,3173,5708,7753,5033,,,,,,,,,,,,,
140.00714,3483,8292,8118,4207,,,,,,,,,,,,,
140.00714,3113,4634,6064,9014,,,,,,,,,,,,,
140.00714,2539,5459,5427,3178,,,,,,,,,,,,,
140.00714,1843,9656,4259,8859,,,,,,,,,,,,,
140.00714,1183,7838,2219,9821,,,,,,,,,,,,,
140.00714,2535,5950,5944,6775,,,,,,,,,,,,,
140.00714,1381,9808,3145,4841,,,,,,,,,,,,,
140.00714,2243,7242,4787,8273,,,,,,,,,,,,,
140.00714,1405,6422,2351,4877,,,,,,,,,,,,,
140.00714,1253,3912,7657,5676,,,,,,,,,,,,,
140.00714,2721,5100,6323,5085,,,,,,,,,,,,,
140.00714,3089,7032,9088,7320,,,,,,,,,,,,,
140.00714,1725,2178,3142,9220,,,,,,,,,,,,,
140.00714,3409,7348,8859,6285,,,,,,,,,,,,,
140.00714,1537,9372,2678,1831,,,,,,,,,,,,,
140.00714,2325,3375,5269,2807,,,,,,,,,,,,,
140.00714,3839,6497,9917,6754,,,,,,,,,,,,,
140.00714,979,9878,1369,6519,,,,,,,,,,,,,
140.00714,1803,8140,4112,3487,,,,,,,,,,,,,
140.00714,2921,4540,6631,8682,,,,,,,,,,,,,
140.00714,1471,8816,3720,8396,,,,,,,,,,,,,
140.00714,873,5197,1548,923,,,,,,,,,,,,,
140.00714,1761,4424,3620,5438,,,,,,,,,,,,,
140.00714,2089,2741,4736,7494,,,,,,,,,,,,,
140.00714,1189,1458,3063,1450,,,,,,,,,,,,,
140.00714,1151,7002,1620,4218,,,,,,,,,,,,,
140.00714,2817,8431,5898,7080,,,,,,,,,,,,,
140.00714,1981,9371,3644,9011,,,,,,,,,,,,,
140.00714,2259,6423,6307,5424,,,,,,,,,,,,,
140.00714,2339,8827,3972,9177,,,,,,,,,,,,,
140.00714,2427,9543,6182,9171,,,,,,,,,,,,,
140.00714,1329,4443,2895,6863,,,,,,,,,,,,,
140.00714,1405,2939,3132,6230,,,,,,,,,,,,,
140.00714,1267,2019,2856,8140,,,,,,,,,,,,,
140.00714,1705,2669,3968,2667,,,,,,,,,,,,,
140.00714,1669,5733,2921,2112,,,,,,,,,,,,,
140.00714,2513,8266,4759,9563,,,,,,,,,,,,,
140.00714,2619,7975,8230,6332,,,,,,,,,,,,,
140.00714,2973,7058,7165,9031,,,,,,,,,,,,,
140.00714,2173,5156,4661,5605,,,,,,,,,,,,,
140.00714,2491,4532,4831,9138,,,,,,,,,,,,,
140.00714,1893,2357,3909,2625,,,,,,,,,,,,,
140.00714,2953,8050,5783,8110,,,,,,,,,,,,,
140.00714,2713,6984,8038,4879,,,,,,,,,,,,,
140.00714,2107,2734,4375,8705,,,,,,,,,,,,,
140.00714,3321,5450,8081,6043,,,,,,,,,,,,,
140.00714,3097,5094,6860,9152,,,,,,,,,,,,,
140.00714,1969,3036,3628,9235,,,,,,,,,,,,,
140.00714,1927,9482,3448,9150,,,,,,,,,,,,,
140.00714,1953,4529,5308,4833,,,,,,,,,,,,,
140.00714,997,9607,2215,9575,,,,,,,,,,,,,
140.00714,3041,4897,8888,7542,,,,,,,,,,,,,
140.00714,3809,3207,9497,7518,,,,,,,,,,,,,
140.00714,1267,1432,1745,1539,,,,,,,,,,,,,
140.00714,2193,9230,7547,6289,,,,,,,,,,,,,
140.00714,2523,3090,6565,5704,,,,,,,,,,,,,
140.00714,1975,9457,3769,8666,,,,,,,,,,,,,
140.00714,1899,8203,4544,3289,,,,,,,,,,,,,
140.00714,2897,5234,6505,4437,,,,,,,,,,,,,
140.00714,1341,3490,3801,2183,,,,,,,,,,,,,
140.00714,2165,2939,5527,6725,,,,,,,,,,,,,
140.00714,1927,8123,3868,4690,,,,,,,,,,,,,
140.00714,2411,8895,7347,8285,,,,,,,,,,,,,
140.00714,2117,3035,3878,9187,,,,,,,,,,,,,
140.00714,2495,8329,4461,8512,,,,,,,,,,,,,
140.00714,2281,5648,5422,5749,,,,,,,,,,,,,
140.00714,3057,6126,8860,6486,,,,,,,,,,,,,
140.00714,1207,1700,2020,3808,,,,,,,,,,,,,
140.00714,2013,8896,4450,2685,,,,,,,,,,,,,
140.00714,3311,8019,9104,6991,,,,,,,,,,,,,
140.00714,991,8312,2908,8685,,,,,,,,,,,,,
140.00714,2901,5048,7647,5889,,,,,,,,,,,,,
140.00714,2749,8156,5273,3734,,,,,,,,,,,,,
140.00714,2659,4535,5895,4275,,,,,,,,,,,,,
140.00714,4087,6508,8887,7377,,,,,,,,,,,,,
140.00714,2723,6866,7817,5786,,,,,,,,,,,,,
140.00714,3027,8077,9580,4882,,,,,,,,,,,,,
140.00714,2209,2896,4398,4059,,,,,,,,,,,,,
140.00714,2041,7545,4926,2960,,,,,,,,,,,,,
